Filename,Word,Count
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,THE,1
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,PRESIDENT,1
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,Madam,1
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,Speaker,2
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,Vice,1
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,President,1
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,Cheney,1
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,members,3
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,of,165
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,Congress,27
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,distinguished,1
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,guests,2
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,and,225
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,fellow,5
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,citizens,10
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,Seven,1
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,years,11
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,have,40
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,passed,4
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,since,2
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,I,32
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,first,2
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,stood,1
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,before,5
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,you,26
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,at,11
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,this,34
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,rostrum,1
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,In,18
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,that,71
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,time,8
./state-of-the-union-corpus-1989-2017/Bush_2008.txt,our,104
